Physical Collection Name (Islandora),Unique ID# (Islandora),Title (Islandora),Description (Islandora),Date (Islandora),Notes (Islandora),Subject (Islandora),Location (Geographic) (Islandora),Subjects_GEMMA4
Kerr-McGee Corporation collection,WHC-P-2232_0037,Cato Oil and Grease Company employee working a packing machine,"Color photograph depicting a Cato Oil and Grease Company employee working at a packing machine to produce Mystik JT-6 high-temperature, lithium-complex grease.",circa 1964-1980,,,,corporate_name: Cato Oil and Grease Company | form_genre: Photographs | topical: Industrial machinery | topical: Lubricating grease | topical: Manufacturing plants | topical: Packaging
Kerr-McGee Corporation collection,WHC-P-2232_0038,Moss-American worker operating railroad tie sawing and sorting machine,"Black and white photograph of a Moss-American worker operating a railroad tie sawing and sorting machine at a Moss-American facility in Springfield, Missouri.",circa 1960-1974,Moss-American was a Kerr-McGee Corporation subsidiary.,,,corporate_name: Moss-American | form_genre: Photographs | geographic: Springfield (Mo.) | topical: Industrial machinery | topical: Manufacturing plants | topical: Railroad ties | topical: Sawing
Kerr-McGee Corporation collection,WHC-P-2232_0039,Sequoyah Fuels Corporation employee with cylinders of uranium hexafluoride,"Black and white photograph depicting a Sequoyah Fuels Corporation employee among UF6 cylinders filled with uranium hexafluoride produced at the company's uranium processing plant near Gore, Oklahoma.",circa 1983-1988,Sequoyah Fuels Corporation was a subsidiary of  Kerr-McGee Corporation.,,,"corporate_name: Sequoyah Fuels Corporation | form_genre: Photographs | geographic: Gore, Oklahoma | geographic: Oklahoma | topical: Industrial photography | topical: Nuclear fuel cycle | topical: Uranium hexafluoride | topical: Uranium processing"
Kerr-McGee Corporation collection,WHC-P-2232_0040,"Kerr-McGee Corporation employee monitoring sodium chlorate production at Henderson, Nevada plant","Black and white photograph depicting a Kerr-McGee Corporation employee wearing an oxygen mask and white rubber gloves checking the electrolytic process that produces sodium chlorate at the Kerr McGee plant in Henderson, Nevada.",circa 1970-1979,,,,"corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Henderson, Nevada | topical: Chemical industry | topical: Electrolysis | topical: Protective clothing | topical: Sodium chlorate"
Kerr-McGee Corporation collection,WHC-P-2232_0041,"Kerr-McGee Corporation employee at Cimarron Fuel Fabrication Site near Crescent, Oklahoma","Black and white photograph depicting a Kerr-McGee Corporation employee checking the alignment of a fabricated uranium fuel assembly at the Cimarron Fuel Fabrication Site near Crescent, Oklahoma circa 1975.",circa 1975,,,,chronological: 1975 | corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Crescent (Oklahoma) | geographic: Oklahoma | topical: Industrial photography | topical: Nuclear fuel fabrication | topical: Uranium fuel
Kerr-McGee Corporation collection,WHC-P-2232_0042,"Kerr-McGee Corporation employee checking ""Christmas tree"" at Parks #1 well in Wheeler County, Texas","Black and white photograph depicting a Kerr-McGee Corporation employee checking a ""Christmas tree"" at Parks #1 well in Wheeler County, Texas. A ""Christmas tree"" refers to equipment that provides flow control on at an oil or gas well. A sign in the photograph reads ""Kerr-McGee Corporation. Parks LSE. ""Morrow Upper"" 58699. Allison Parks (Morrow Upper) Field. ",circa 1960-1980,,,,corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Texas | geographic: Wheeler County (Texas) | topical: Flow control (Oil and gas) | topical: Gas wells | topical: Oil industry | topical: Oil wells
Kerr-McGee Corporation collection,WHC-P-2232_0044,Charlie Walton standing beside Dixon Brothers oil rig,Black and white photograph depicting worker Charlie Walton standing beside a Dixon Brothers oil rig in 1927. The Dixon Brothers oil rig was sold to Anderson and Kerr Drilling Company in 1929. Charlie Walton would become an employee of Anderson and Kerr.,1927,,,,"chronological: 1927 | corporate_name: Anderson and Kerr Drilling Company | corporate_name: Dixon Brothers | form_genre: Photographs | personal_name: Walton, Charlie | topical: Oil drilling | topical: Oil industry | topical: Oil rigs"
Kerr-McGee Corporation collection,WHC-P-2232_0045,"Aerial view near Cape Yakataga, Alaska","Black and white aerial photograph depicting the area near Cape Yakataga, Alaska in 1954 looking westward on the Yakataga anticline. ",1954,This area was the site of a Kerr-McGee oil well attempt in 1954.,,,"chronological: 1954 | form_genre: Aerial photographs | geographic: Alaska | geographic: Cape Yakataga, Alaska | topical: Aerial photography | topical: Anticlines | topical: Geology"
Kerr-McGee Corporation collection,WHC-P-2232_0046,"Kerr-McGee Corporation oil refinery in Corpus Christi, Texas","Black and white photograph depicting Kerr-McGee Corporation's oil refinery in Corpus Christi, Texas, formerly Southwestern Refining Company, in 1974",1974,,,,chronological: 1974 | corporate_name: Kerr-McGee Corporation | corporate_name: Southwestern Refining Company | form_genre: Photographs | geographic: Corpus Christi (Texas) | geographic: Texas | topical: Industrial plants | topical: Oil refineries | topical: Petroleum refining
Kerr-McGee Corporation collection,WHC-P-2232_0047,"Headframe of Kerr-McGee Corporation Choctaw coal mine near Stigler, Oklahoma","Black and white photograph depicting the headframe of Kerr-McGee Choctaw coal mine near Stigler, Oklahoma",circa 1968-1985,,,,corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Oklahoma | geographic: Stigler (Okla.) | topical: Coal mines | topical: Coal mining | topical: Mining headframes
Kerr-McGee Corporation collection,WHC-P-2232_0049,"Kerr-McGee Corporation trona evaporation unit near Searles Lake, California","Black and white photograph depicting the Kerr-McGee Corporation trona evaporation unit near Searles Lake, California used to process brine.",circa 1967-1985,,,,corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: California | geographic: Searles Lake (California) | topical: Brine | topical: Chemical industry | topical: Evaporation | topical: Industrial plants | topical: Trona
Kerr-McGee Corporation collection,WHC-P-2232_0050,Kerr-McGee Corporation oil storage vessel Baraka I at Mubarek Field,Black and white photograph depicting the Kerr-McGee oil storage vessel Baraka I in the Mubarek Field in the Persian Gulf.,circa 1974-1984,,,,corporate_name: Kerr-McGee | form_genre: Photographs | geographic: Mubarak Field | geographic: Persian Gulf | topical: Offshore drilling | topical: Oil platforms | topical: Oil storage
Kerr-McGee Corporation collection,WHC-P-2232_0051,"Kerr-McGee Corporation bulk loading terminal at Wynnewood Refinery, Wynnewood, Oklahoma","Black and white photograph depicting tank trucks at a Kerr-McGee Corporation bulk loading terminal at Wynnewood Refinery in Wynnewood, Oklahoma in 1975.",1975-03-01 00:00:00,,,,"chronological: 1975 | corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Oklahoma | geographic: Wynnewood, Oklahoma | topical: Bulk loading terminals | topical: Oil industry | topical: Oil refineries | topical: Tank trucks"
Kerr-McGee Corporation collection,WHC-P-2232_0052,"Kerr-McGee Corporation dragline excavator at Jacobs Ranch Mine near Wright, Wyoming","Black and white photograph depicting a Kerr-McGee Corporation dragline excavator manufactured by Bucyrus-Erie strip mining for coal in 1977 at Jacobs Ranch Mine near Wright, Wyoming. Storage silos are depicted in the background.",1977,,,,chronological: 1977 | corporate_name: Bucyrus-Erie | corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Jacobs Ranch Mine | geographic: Wright (Wyo.) | geographic: Wyoming | topical: Coal | topical: Dragline excavators | topical: Mining equipment | topical: Strip mining
Kerr-McGee Corporation collection,WHC-P-2232_0054,"Triangle Refineries oil terminal at oil refinery facility in Mobile, Alabama","Black and white photograph depicting an oil terminal at the Triangle Refineries oil refinery facility in Mobile, Alabama.",circa 1965-1985,Triangle Refineries was a subsidiary of Kerr-McGee Corporation.,,,corporate_name: Triangle Refineries | form_genre: Photographs | geographic: Alabama | geographic: Mobile (Alabama) | topical: Oil refineries | topical: Oil terminals | topical: Petroleum industry
Kerr-McGee Corporation collection,WHC-P-2232_0055,Triangle Refineries oil terminal at oil refinery facility,Black and white photograph depicting an oil terminal at a Triangle Refineries oil refinery facility.,circa 1965-1985,Triangle Refineries was a subsidiary of Kerr-McGee Corporation.,,,corporate_name: Triangle Refineries | form_genre: Photographs | topical: Oil refineries | topical: Oil terminals | topical: Petroleum industry
Kerr-McGee Corporation collection,WHC-P-2232_0056,"Kerr-McGee Corporation employee at helium liquefaction plant in Navajo County, Arizona","Black and white photograph depicting a Kerr-McGee Corporation employee at helium liquefaction plant in Navajo County, Arizona in 1964.",1964,,,,chronological: 1964 | corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Arizona | geographic: Navajo County (Ariz.) | topical: Chemical industry | topical: Helium | topical: Industrial plants | topical: Liquefaction
Kerr-McGee Corporation collection,WHC-P-2232_0057,"Pumpjack at Morgan #1 oil well in Seminole County, Oklahoma","Black and white photograph depicting a Kerr-McGee Corporation pumpjack at Morgan #1 oil well at the Konawa dove field in Seminole County, Oklahoma.",circa 1960-1980,"Drilled in 1930, the Morgan #1 oil well was the first oil will drilled for Anderson and Kerr for their own account.",,,corporate_name: Kerr-McGee Corporation | form_genre: Black-and-white photographs | form_genre: Photographs | geographic: Konawa (Okla.) | geographic: Oklahoma | geographic: Seminole County (Okla.) | topical: Oil industry | topical: Oil wells | topical: Petroleum refining | topical: Pumpjacks
Kerr-McGee Corporation collection,WHC-P-2232_0058,"Kerr-McGee Corporation oil refinery in Corpus Christi, Texas","Black and white photograph taken at twilight depicting Kerr-McGee Corporation's oil refinery in Corpus Christi, Texas, formerly Southwestern Refining Company.",circa 1970-1985,,,,corporate_name: Kerr-McGee Corporation | corporate_name: Southwestern Refining Company | form_genre: Black-and-white photographs | form_genre: Photographs | geographic: Corpus Christi (Texas) | geographic: Texas | topical: Industrial plants | topical: Oil refineries | topical: Petroleum refining
Kerr-McGee Corporation collection,WHC-P-2232_0060,"Kerr-McGee Corporation uranium mine shaft headframe near Ambrosia Lake in Grants, New Mexico","Black and white photograph depicting the first Kerr-McGee Corporation uranium mine shaft headframe near Ambrosia Lake in Grants, New Mexico in 1959.",1959,,,,chronological: 1959 | corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Ambrosia Lake (N.M.) | geographic: Grants (N.M.) | geographic: New Mexico | topical: Headframes | topical: Mining | topical: Uranium mines
Kerr-McGee Corporation collection,WHC-P-2232_0061,"Brewster Phosphates dragline excavator at phosphate mine in Brewster, Florida","Black and white photograph depicting a Brewster Phosphates dragline excavator mining for phosphate in Brewster, Florida in 1971.",1971,Brewster Phosphates was a subsidiary of Kerr-McGee Corporation.,,,chronological: 1971 | corporate_name: Brewster Phosphates | form_genre: Photographs | geographic: Brewster (Florida) | geographic: Florida | topical: Dragline excavators | topical: Mining equipment | topical: Phosphate mining
Kerr-McGee Corporation collection,WHC-P-2232_0063,"Brewster Mill phosphate plant in Brewster, Florida","Black and white photograph depicting a worker wearing a hard hat at the Brewster Mill phosphate plant in Brewster, Florida.",circa 1970-1979,The Brewster Mill phosphate plant was owner in partnership with Kerr-McGee Corporation.,,,corporate_name: Brewster Mill | form_genre: Photographs | geographic: Brewster (Florida) | geographic: Florida | topical: Industrial plants | topical: Industrial workers | topical: Mining | topical: Phosphate industry
Kerr-McGee Corporation collection,WHC-P-2232_0065,"Mine workers on mine cart at Shiprock Uranium Mine in Navajo County, Arizona","Black and white photograph depicting two mine workers on mine cart at Shiprock Uranium Mine in Navajo County, Arizona.",1953,,,,corporate_name: Shiprock Uranium Mine | form_genre: Photographs | geographic: Arizona | geographic: Navajo County (Arizona) | geographic: Shiprock (Arizona) | topical: Mine workers | topical: Mining | topical: Navajo Nation | topical: Uranium mining
Kerr-McGee Corporation collection,WHC-P-2232_0068,"Cotton Valley Refinery in Cotton Valley, Louisiana","Black and white photograph depicting the Kerr-McGee Corporation-owned Cotton Valley Refinery in Cotton Valley, Louisiana.",circa 1970-1985,,,,corporate_name: Kerr-McGee Corporation | form_genre: Black-and-white photographs | form_genre: Photographs | geographic: Cotton Valley (La.) | geographic: Louisiana | topical: Industrial plants | topical: Oil refineries | topical: Petroleum refining
Kerr-McGee Corporation collection,WHC-P-2232_0069,"Kerr-McGee Corporation Sequoyah Facility uranium hexafluoride processing plant near Gore, Oklahoma","Black and white photograph depicting the Kerr-McGee Corporation Sequoyah Facility uranium hexafluoride processing plant near Gore, Oklahoma at sunset.",1970,,,,corporate_name: Kerr-McGee Corporation | form_genre: Black and white photographs | form_genre: Photographs | geographic: Gore (Oklahoma) | geographic: Oklahoma | topical: Industrial plants | topical: Nuclear fuel cycle | topical: Uranium hexafluoride | topical: Uranium processing plants
Kerr-McGee Corporation collection,WHC-P-2232_0071,(NEEDS TO BE MIRROR IMAGED) Kerr-McGee Corporation crew core drilling in search of uranium,Black and white photograph depicting a Kerr-McGee Corporation crew core drilling in search of uranium. Two onlooking children and a mule are seen in the foreground.,circa 1952-1960,,,,corporate_name: Kerr-McGee Corporation | form_genre: Photographs | topical: Core drilling | topical: Mining | topical: Prospecting | topical: Uranium
Kerr-McGee Corporation collection,WHC-P-2232_0072,Unidentified Kerr-McGee Corporation plant,Black and white photograph depicting an unidentified Kerr McGee plant used to separate petroleum liquids from natural gas.,circa 1970-1985,,,,corporate_name: Kerr-McGee Corporation | form_genre: Black-and-white photographs | form_genre: Photographs | topical: Gas plants | topical: Industrial plants | topical: Natural gas | topical: Petroleum refining
Kerr-McGee Corporation collection,WHC-P-2232_0074,Kerr-McGee Corporation airplane searching for uranium,Black and white photograph of a Kerr-McGee Corporation airplane flying near a rock formation during a uranium prospecting expedition.,circa 1952-1970,,,,corporate_name: Kerr-McGee Corporation | form_genre: Photographs | topical: Airplanes | topical: Geological surveys | topical: Prospecting | topical: Uranium
Kerr-McGee Corporation collection,WHC-P-2232_0077,"Kerr-McGee Corporation oil refinery in Wynnewood, Oklahoma","Black and white aerial photograph depicting the Kerr-McGee Corporation oil refinery in Wynnewood, Oklahoma",circa 1965-1980,,,,"corporate_name: Kerr-McGee Corporation | form_genre: Aerial photographs | form_genre: Black-and-white photographs | geographic: Oklahoma | geographic: Wynnewood, Oklahoma | topical: Industrial plants | topical: Oil refineries | topical: Petroleum refining"
Kerr-McGee Corporation collection,WHC-P-2232_0078,Cato Oil & Grease Company semi-trailer trucks,"Black and white photograph depicting three Cato Oil & Grease Company semi-trailer trucks taken on February 23, 1956. The trucks carry the brand of the company's Wanda motor oil.",1956-02-23 00:00:00,The Oklahoma City-based Cato Oil and Grease Company was a subsidiary of the Kerr-McGee Corporation,,,chronological: 1956 | corporate_name: Cato Oil & Grease Company | form_genre: Photographs | topical: Advertising | topical: Motor oil | topical: Semi-trailer trucks | topical: Transportation
Kerr-McGee Corporation collection,WHC-P-2232_0079,Kerr-McGee Corporation's Transworld Rig 54 being towed down the Mississippi River,"Black and white photograph depicting the Kerr-McGee Corporation's Transworld Rig 54 being towed down the Mississippi River in the fog on January 19, 1963. The photograph shows the oil platform being towed under the Greater New Orleans Bridge in New Orleans, Louisiana.",1963-01-19 00:00:00,,,,chronological: 1963 | corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Louisiana | geographic: Mississippi River | geographic: New Orleans (La.) | topical: Mississippi River | topical: Oil industry | topical: Oil platforms | topical: Towing
Kerr-McGee Corporation collection,WHC-P-2232_0080,"Oil rig at Barron Ranch at Ellenberger Field in Garza County, Texas","Black and white photograph depicting an oil rig at Barron Ranch at Ellenberger Field in Garza County, Texas in 1974.",1974,,,,chronological: 1974 | form_genre: Photographs | geographic: Ellenberger Field (Texas) | geographic: Garza County (Texas) | geographic: Texas | topical: Oil drilling | topical: Oil rigs | topical: Petroleum industry
Kerr-McGee Corporation collection,WHC-P-2232_0081,"Drilling rigs performing uranium exploration near Ambrosia Lake in Grants, New Mexico","Black and white photograph of drilling rigs performing uranium exploration near Ambrosia Lake in Grants, New Mexico in June 1956.",1956-06-01 00:00:00,,,,chronological: 1956 | form_genre: Photographs | geographic: Ambrosia Lake (New Mexico) | geographic: Grants (New Mexico) | geographic: New Mexico | topical: Drilling rigs | topical: Mineral exploration | topical: Uranium mining
Kerr-McGee Corporation collection,WHC-P-2232_0084,"Steam-driven rotary drilling oil rig, undated",Black and white photograph depicting a steam-driven rotary drilling oil rig. The rig depicted is probably one of the first two drilling rigs purchased by R.S. Kerr and James L. Anderson in 1929.,circa 1925-1935,,,,"chronological: 1929 | form_genre: Photographs | personal_name: Anderson, James L. | personal_name: Kerr, R. S. | topical: Drilling | topical: Oil rigs | topical: Rotary drilling | topical: Steam power"
Kerr-McGee Corporation collection,WHC-P-2232_0085,Transocean Drilling Company oil rig in the North Sea,Black and white photograph depicting a Transocean Drilling Company oil rig in the North Sea.,circa 1967,Transocean Drilling Company was a subsidiary of the Kerr-McGee Corporation.,,,corporate_name: Transocean Drilling Company | form_genre: Photographs | geographic: North Sea | topical: Offshore drilling | topical: Oil drilling | topical: Oil platforms
Kerr-McGee Corporation collection,WHC-P-2232_0086,"Drilling rig in Holt, Texas","Black and white photograph taken in twilight depicting a drilling rig beside a body of water in Holt, Texas.",circa 1970-1985,,,,form_genre: Black-and-white photographs | form_genre: Photographs | geographic: Holt (Texas) | geographic: Texas | topical: Drilling rigs | topical: Oil industry | topical: Oil rigs
Kerr-McGee Corporation collection,WHC-P-2232_0087,Offshore oil rig,"Black and white photograph depicting an offshore oil platform. In the background, the sun is depicted shining through clouds.",circa 1970-1985,,,,form_genre: Black-and-white photographs | form_genre: Photographs | topical: Ocean platforms | topical: Offshore oil platforms | topical: Oil rigs | topical: Petroleum industry
Kerr-McGee Corporation collection,WHC-P-2232_0088,"Kerr-McGee Corporation uranium mine shaft headframe near Ambrosia Lake in Grants, New Mexico","Black and white photograph depicting a Kerr-McGee Corporation uranium mine shaft headframe near Ambrosia Lake in Grants, New Mexico.",circa 1958-1979,,,,corporate_name: Kerr-McGee Corporation | form_genre: Black-and-white photographs | form_genre: Photographs | geographic: Ambrosia Lake (N.M.) | geographic: Grants (N.M.) | geographic: New Mexico | topical: Headframes | topical: Mining | topical: Uranium mines
Kerr-McGee Corporation collection,WHC-P-2232_0089,"Drilling operation near Icy Bay, Alaska","Black and white photograph depicting a drilling operation near Icy Bay, Alaska in July 2, 1954. A drilling rig is depicted along with a Caterpillar diesel D 315 engine pumping water for drilling operations.",1954-07-02 00:00:00,,,,chronological: 1954 | form_genre: Photographs | geographic: Alaska | geographic: Icy Bay (Alaska) | topical: Caterpillar diesel engines | topical: Drilling rigs | topical: Oil drilling | topical: Water wells
Kerr-McGee Corporation collection,WHC-P-2232_0090,"Kerr-McGee Corporation wildcat well drilling operation in northeast British Columbia, Canada","Black and white photograph depicting an oil rig being used for a wildcat well drilling operation in extreme northeast British Columbia, Canada.",circa 1965-1970,,,,form_genre: Photographs | form_genre: Still images | geographic: British Columbia (Province) | geographic: Canada | topical: Oil drilling | topical: Oil rigs | topical: Petroleum industry | topical: Wildcatting
Kerr-McGee Corporation collection,WHC-P-2232_0093,"Kerr-McGee Corporation oil refinery in Wynnewood, Oklahoma","Black and white photograph depicting the Kerr-McGee Corporation oil refinery in Wynnewood, Oklahoma in spring 1955. Shown are the refinery's fluid-type catalytic cracking unit and catalytic polymerization unit.",1955,,,,chronological: 1955 | corporate_name: Kerr-McGee Corporation | form_genre: Photographs | geographic: Oklahoma | geographic: Wynnewood (Okla.) | topical: Catalytic cracking | topical: Oil refineries | topical: Petroleum refining | topical: Polymerization
